description,code,style,topic,keywords
#description[Описание задачи],code[Код С++],style[using_namespace_std/std],topic[Тема],keywords[int/for/if/ternary_operator/class/...]
# ----------------------------------------------------------------------------------------------------------------------------------------
#
# БЛОК 1: Базовые темы                          Fundamentals
#
# ----------------------------------------------------------------------------------------------------------------------------------------
#       - базовый ввод-вывод                    basic_io                        cin cout                       (2%) ~100 строк         100
# ----------------------------------------------------------------------------------------------------------------------------------------
"напиши программу которая выводит 'Hello World'","#include <iostream>\nusing namespace std;\n\nint main() {\n cout << "Hello World" << endl;\n return 0;\n}","using_namespace_std","basic_io","cout,endl"
"напиши программу которая выводит 'Hello World' без using namespace std","#include <iostream>\n\nint main() {\n std::cout << "Hello World" << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cout,std::endl"
#
"создай программу которая выводит надпись 'Привет, мир!' на новой строке","#include <iostream>\nusing namespace std;\n\nint main() {\n cout << \"Привет, мир!\" << endl;\n return 0;\n}","using_namespace_std","basic_io","cout,endl"
"создай программу которая выводит надпись 'Привет, мир!' на новой строке без using namespace std","#include <iostream>\n\nint main() {\n std::cout << \"Привет, мир!\" << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cout,std::endl"
#
"программа которая выводит простое приветствие без запроса ввода","#include <iostream>\nusing namespace std;\n\nint main() {\n cout << \"Welcome to the program!\" << endl;\n return 0;\n}","using_namespace_std","basic_io","cout,endl"
"программа которая выводит простое приветствие без запроса ввода без using namespace std","#include <iostream>\n\nint main() {\n std::cout << \"Welcome to the program!\" << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cout,std::endl"
#
"создай программу которая просто выводит строку 'Программирование на C++'","#include <iostream>\nusing namespace std;\n\nint main() {\n cout << \"Программирование на C++\" << endl;\n return 0;\n}","using_namespace_std","basic_io","cout,endl"
"создай программу которая просто выводит строку 'Программирование на C++' без using namespace std","#include <iostream>\n\nint main() {\n std::cout << \"Программирование на C++\" << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cout,std::endl"
#
"создай программу которая выводит строку 'Start' и 'End' на разных строках","#include <iostream>\nusing namespace std;\n\nint main() {\n cout << \"Start\\n\";\n cout << \"End\" << endl;\n return 0;\n}","using_namespace_std","basic_io","cout,endl,newline"
"создай программу которая выводит строку 'Start' и 'End' на разных строках без using namespace std","#include <iostream>\n\nint main() {\n std::cout << \"Start\\n\";\n std::cout << \"End\" << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cout,std::endl,newline"
#
"реализуй программу которая выводит три слова 'C++', 'is', 'fun' в одну строку","#include <iostream>\nusing namespace std;\n\nint main() {\n cout << \"C++ \" << \"is \" << \"fun!\" << endl;\n return 0;\n}","using_namespace_std","basic_io","cout,endl,concatenation"
"реализуй программу которая выводит три слова 'C++', 'is', 'fun' в одну строку без using namespace std","#include <iostream>\n\nint main() {\n std::cout << \"C++ \" << \"is \" << \"fun!\" << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cout,std::endl,concatenation"
#
"напиши программу которая выводит простое меню из двух пунктов","#include <iostream>\nusing namespace std;\n\nint main() {\n cout << \"Меню:\\n\";\n cout << \"1. Старт\\n\";\n cout << \"2. Выход\\n\";\n return 0;\n}","using_namespace_std","basic_io","cout,endl,newline"
