description,code,style,topic,keywords
#description[Описание задачи],code[Код С++],style[using_namespace_std/std],topic[Тема],keywords[int/for/if/ternary_operator/class/...]
# ----------------------------------------------------------------------------------------------------------------------------------------
#
# БЛОК 1: Базовые темы                          Fundamentals
#
# ----------------------------------------------------------------------------------------------------------------------------------------
#       - базовый ввод-вывод                    basic_io                        cin cout                       (2%) ~100 строк         02
# ----------------------------------------------------------------------------------------------------------------------------------------
#---
"напиши программу которая выводит 'Hello World'","#include <iostream>\nusing namespace std;\n\nint main() {\n cout << "Hello World" << endl;\n return 0;\n}","using_namespace_std","basic_io","cout,endl"
"напиши программу которая выводит 'Hello World' без using namespace std","#include <iostream>\n\nint main() {\n std::cout << "Hello World" << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cout,std::endl"
#---
"напиши программу которая выводит приветствие с вводимым именем","#include <iostream>\n#include <string>\nusing namespace std;\n\nint main() {\n string name;\n cout << "Введите ваше имя: ";\n cin >> name;\n cout << "Привет, " << name << "!" << endl;\n return 0;\n}","using_namespace_std","basic_io","cin,cout,string,endl"
"напиши программу которая выводит приветствие с вводимым именем без using namespace std","#include <iostream>\n#include <string>\n\nint main() {\n std::string name;\n std::cout << "Введите ваше имя: ";\n std::cin >> name;\n std::cout << "Привет, " << name << "!" << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cin,std::cout,std::string,std::endl"
#---
"напиши программу которая меняет местами значения двух вводимых переменных","#include <iostream>\nusing namespace std;\n\nint main() {\n int a, b, temp;\n cout << "Введите a и b: ";\n cin >> a >> b;\n \n temp = a;\n a = b;\n b = temp;\n \n cout << "После обмена: a = " << a << " b = " << b << endl;\n return 0;\n}","using_namespace_std","basic_io","cin,cout,int,endl,assignment"
"напиши программу которая меняет местами значения двух вводимых переменных без using namespace std","#include <iostream>\n\nint main() {\n int a, b, temp;\n std::cout << "Введите a и b: ";\n std::cin >> a >> b;\n \n temp = a;\n a = b;\n b = temp;\n \n std::cout << "После обмена: a = " << a << " b = " << b << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cin,std::cout,int,std::endl,assignment"
#---
"создай программу которая выводит символ по его ASCII коду","#include <iostream>\nusing namespace std;\n\nint main() {\n int code;\n cout << "Введите ASCII код: ";\n cin >> code;\n cout << "Символ: " << char(code) << endl;\n return 0;\n}","using_namespace_std","basic_io","char,cin,cout,int,type_conversion,endl"
"создай программу которая выводит символ по его ASCII коду без using namespace std","#include <iostream>\n\nint main() {\n int code;\n std::cout << "Введите ASCII код: ";\n std::cin >> code;\n std::cout << "Символ: " << char(code) << std::endl;\n return 0;\n}","explicit_std","basic_io","char,std::cin,std::cout,int,type_conversion,std::endl"
#---
"напиши программу которая находит ASCII код вводимого символа","#include <iostream>\nusing namespace std;\n\nint main() {\n char ch;\n cout << "Введите символ: ";\n cin >> ch;\n cout << "ASCII код: " << int(ch) << endl;\n return 0;\n}","using_namespace_std","basic_io","char,cin,cout,int,type_conversion,endl"
"напиши программу которая находит ASCII код вводимого символа без using namespace std","#include <iostream>\n\nint main() {\n char ch;\n std::cout << "Введите символ: ";\n std::cin >> ch;\n std::cout << "ASCII код: " << int(ch) << std::endl;\n return 0;\n}","explicit_std","basic_io","char,std::cin,std::cout,int,type_conversion,std::endl"
#---
