epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.0959370955824852,0.0010000000474974513,6.775582313537598,0.07419183105230331,6.1949615478515625
1,0.09030144661664963,0.0010000000474974513,5.798098087310791,0.0842607244849205,6.215060234069824
2,0.11179554462432861,0.0010000000474974513,5.522506237030029,0.0879703164100647,6.1459503173828125
3,0.11821755766868591,0.0010000000474974513,5.3770222663879395,0.11446740478277206,6.041924476623535
4,0.15216252207756042,0.0010000000474974513,5.158432483673096,0.12983570992946625,5.8731489181518555
5,0.17509829998016357,0.0010000000474974513,4.973641395568848,0.15156331658363342,5.754764556884766
6,0.21703803539276123,0.0010000000474974513,4.771890640258789,0.21356648206710815,5.598841190338135
7,0.25884658098220825,0.0010000000474974513,4.588931560516357,0.22575515508651733,5.494800567626953
8,0.27129748463630676,0.0010000000474974513,4.370959758758545,0.24165339767932892,5.4017839431762695
9,0.28741809725761414,0.0010000000474974513,4.248945236206055,0.2538420855998993,5.331604957580566
10,0.30537354946136475,0.0010000000474974513,4.074511528015137,0.2623211443424225,5.295119762420654
11,0.33302754163742065,0.0010000000474974513,3.9401440620422363,0.27927929162979126,5.280981540679932
12,0.3575360178947449,0.0010000000474974513,3.798814296722412,0.28192898631095886,5.262650966644287
13,0.37457403540611267,0.0010000000474974513,3.6950950622558594,0.30100688338279724,5.24586820602417
14,0.3921363353729248,0.0010000000474974513,3.569802761077881,0.29835715889930725,5.247596740722656
15,0.404980331659317,0.0010000000474974513,3.454119920730591,0.29994699358940125,5.249270439147949
16,0.4093053936958313,0.0010000000474974513,3.4099509716033936,0.31054583191871643,5.2329182624816895
17,0.4224115312099457,0.0010000000474974513,3.3107223510742188,0.31107577681541443,5.242720603942871
18,0.42359107732772827,0.0010000000474974513,3.233369827270508,0.3206147253513336,5.2350287437438965
19,0.4338139295578003,0.0010000000474974513,3.162346124649048,0.3232644498348236,5.234468460083008
20,0.4422018527984619,0.0010000000474974513,3.084218740463257,0.3243243098258972,5.256559371948242
21,0.4467889964580536,0.0010000000474974513,2.993117094039917,0.3280338943004608,5.257284641265869
22,0.45543912053108215,0.0005000000237487257,2.9317774772644043,0.3296237289905548,5.256515979766846
23,0.46041935682296753,0.0005000000237487257,2.8838248252868652,0.3306836187839508,5.274562358856201
24,0.46186110377311707,0.0005000000237487257,2.8466975688934326,0.3317435085773468,5.26685094833374
25,0.46644827723503113,0.0005000000237487257,2.8262360095977783,0.3338632583618164,5.282929420471191
26,0.4688073396682739,0.0005000000237487257,2.7622008323669434,0.335453063249588,5.288040637969971
